set,repo,path,method,operationId,gt_class,resolved,security_present,security_scheme_count,security_scopes,doc_top_level_security,doc_oauth2_flows_with_scopes,doc_security_scheme_external_ref,requestBody_present,requestBody_media_type,requestBody_props,requestBody_party_money,status_codes,has200,has201,has202,has204,callbacks_present,doc_has_webhooks,desc_mentions_callback,idempotency_header_param,party_id_param,x_extension_keys,has_operationId,has_summary,has_description,resource_schema_found,resource_schema_from,resource_schema_props,resource_schema_party_field
camara,DedicatedNetworks,/accesses/{accessId}/devices/add,POST,addDevicesToAccess,x,true,true,1,dedicated-network-accesses:devices:add,false,false,false,true,application/json,devices,false,201|207|400|401|403|404|409|422,false,true,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DedicatedNetworks,/accesses/{accessId}/devices/remove,POST,removeDevicesFromAccess,x,true,true,1,dedicated-network-accesses:devices:remove,false,false,false,true,application/json,devices,false,204|207|400|401|403|404|409|422,false,false,false,true,false,false,false,false,false,,true,true,true,false,,,false
camara,DedicatedNetworks,/retrieve-service-areas,POST,retrieveNetworkServiceAreas,r,true,true,1,dedicated-network-areas:areas:read,false,false,false,true,application/json,atLocation|overlappingArea|coveringArea|byName|byNetworkProfileId|byQosProfileName,false,200|400|401|403,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DedicatedNetworks,/areas/{areaId},GET,readNetworkServiceArea,r,true,true,1,dedicated-network-areas:areas:read,false,false,false,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/areas/{areaId},id|name|description|area|networkProfiles|qosProfiles,false
camara,DedicatedNetworks,/profiles,GET,readNetworkProfiles,r,true,true,1,dedicated-network-profiles:profiles:read,false,false,false,false,,,false,200|400|401|403,true,false,false,false,false,false,false,false,false,,true,true,true,true,/profiles,items|pagination,false
camara,DedicatedNetworks,/profiles/{profileId},GET,readNetworkProfile,r,true,true,1,dedicated-network-profiles:profiles:read,false,false,false,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/profiles/{profileId},id|name|maxNumberOfDevices|aggregatedUlThroughput|aggregatedDlThroughput|qosProfiles|defaultQosProfile,false
camara,DedicatedNetworks,/networks,GET,listNetworks,r,true,true,1,dedicated-network:networks:read,false,false,false,false,,,false,200|400|401|403,true,false,false,false,false,false,false,false,false,,true,true,true,true,/networks,items|pagination,false
camara,DedicatedNetworks,/networks,POST,createNetwork,x,true,true,1,dedicated-network:networks:create,false,false,false,true,application/json,name|networkProfileId|qosProfileName|serviceTime|serviceAreaId|sink|sinkCredential,false,201|400|401|403|404|422,false,true,false,false,true,false,false,false,false,,true,true,true,true,/networks,items|pagination,false
camara,DedicatedNetworks,/networks/{networkId},GET,readNetwork,r,true,true,1,dedicated-network:networks:read,false,false,false,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/networks/{networkId},name|networkProfileId|qosProfileName|serviceTime|serviceAreaId|sink|sinkCredential|id|status,false
camara,DedicatedNetworks,/networks/{networkId},DELETE,deleteNetwork,x,true,true,1,dedicated-network:networks:delete,false,false,false,false,,,false,204|400|401|403|404,false,false,false,true,false,false,false,false,false,,true,true,true,true,/networks/{networkId},name|networkProfileId|qosProfileName|serviceTime|serviceAreaId|sink|sinkCredential|id|status,false
