set,repo,method,path,operationId,gt_class,pred,rule,evidence,summary
camara,IoTDeviceManagement,POST,/retrieve-status,getEsimProfileStatus,r,r,read-verb,opid:get,Retrieve eSIM Profile status
camara,IoTDeviceManagement,GET,/operations/{operationId},retrieveOperation,r,r,locked,,Retrieve operation information
camara,IoTNetworkOptimization,POST,/features/power-saving,activatePowerSaving,x,x,floor,,Activate or de-activate power-saving features for IoT devices
camara,IoTNetworkOptimization,GET,/features/power-saving/transactions/{transactionId},getPowerSaving,r,r,locked,,Get status of a transaction for power-saving features
camara,IoTSIMFraudPrevention,POST,/subscriptions,subscribeFraudPrevention,x,x,floor,,Subscribe to IMEI or area change events
camara,IoTSIMFraudPrevention,GET,/subscriptions,listSubscriptions,r,r,locked,,List subscriptions
camara,IoTSIMFraudPrevention,GET,/subscriptions/{subscriptionId},getSubscription,r,r,locked,,Get subscription details
camara,IoTSIMFraudPrevention,DELETE,/subscriptions/{subscriptionId},deleteSubscription,w,w,floor,,Delete subscription
camara,IoTSIMFraudPrevention,POST,/bind,bindDeviceImei,x,x,floor,,Bind device IMEI or area restrictions
camara,IoTSIMFraudPrevention,POST,/unbind,unBindDeviceImei,x,x,floor,,Unbind device IMEI or area restrictions
camara,IoTSIMFraudPrevention,POST,/query,query,r,r,read-verb,opid:query,IoT SIM Fraud Prevention Query
camara,KnowYourCustomer,POST,/verify,verifyAge,r,r,read-verb,opid:verify,Verify Age Threshold
camara,KnowYourCustomer,POST,/fill-in,KYC_Fill-in,r,x,floor,,Providing information related to a customer identity stored the account data bound to the customer's phone number.
camara,KnowYourCustomer,POST,/match,KYC_Match,r,x,floor,,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.
camara,KnowYourCustomerAgeVerification,POST,/verify,verifyAge,r,r,read-verb,opid:verify,Verify Age Threshold
camara,KnowYourCustomerFill-in,POST,/fill-in,kycFillin,r,x,floor,,Providing information related to a customer identity stored the account data bound to the customer's phone number.
camara,KnowYourCustomerMatch,POST,/match,kycMatch,r,x,floor,,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.
camara,ModelAsAService,POST,/knowledge-bases,createKnowledgeBase,x,x,floor,,Create a new knowledge base
camara,ModelAsAService,GET,/knowledge-bases,listKnowledgeBases,r,r,locked,,Get all knowledge bases
camara,ModelAsAService,GET,/knowledge-bases/{knowledgeBaseId},getKnowledgeBase,r,r,locked,,Get a specific knowledge base
camara,ModelAsAService,PUT,/knowledge-bases/{knowledgeBaseId},updateKnowledgeBase,w,w,floor,,Update a knowledge base
camara,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId},deleteKnowledgeBase,w,w,floor,,Delete a knowledge base
camara,ModelAsAService,POST,/knowledge-bases/{knowledgeBaseId}/documents,uploadDocument,x,x,floor,,Upload a document to a knowledge base
camara,ModelAsAService,GET,/knowledge-bases/{knowledgeBaseId}/documents/{documentId},getDocument,r,r,locked,,Get a specific document
camara,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId}/documents/{documentId},deleteDocument,w,w,floor,,Delete a document
camara,ModelAsAService,POST,/knowledge-bases/{knowledgeBaseId}/tools,createTool,x,x,floor,,Register a new tool
camara,ModelAsAService,GET,/knowledge-bases/{knowledgeBaseId}/tools,listTools,r,r,locked,,List all tools in a knowledge base
camara,ModelAsAService,GET,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},getTool,r,r,locked,,Get a specific tool
camara,ModelAsAService,PUT,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},updateTool,w,w,floor,,Update a tool
camara,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},deleteTool,w,w,floor,,Delete a tool
camara,ModelAsAService,POST,/knowledge-bases/{knowledgeBaseId}/tools/{toolId}/call,callTool,x,x,floor,,Invoke a tool
camara,ModelAsAService,POST,/assistants,createAssistant,x,x,floor,,Create a new QA assistant
camara,ModelAsAService,GET,/assistants,listAssistants,r,r,locked,,List all QA assistants
camara,ModelAsAService,GET,/assistants/{assistantId},getAssistant,r,r,locked,,Get a specific QA assistant
camara,ModelAsAService,PUT,/assistants/{assistantId},updateAssistant,w,w,floor,,Update a QA assistant
camara,ModelAsAService,DELETE,/assistants/{assistantId},deleteAssistant,w,w,floor,,Delete a QA assistant
camara,ModelAsAService,POST,/answer,queryAssistant,r,r,read-verb,opid:query,Get an answer from a QA assistant
camara,MostFrequentLocation,POST,/verify,verifyFrequentLocation,r,r,read-verb,opid:verify,Verify the most frequent location of a device
camara,MultiPointVPN,POST,/networks,createNetwork,x,x,floor,,To create a multipoint virtual private network
camara,MultiPointVPN,PATCH,/networks/{serviceId},updateNetwork,w,x,party-noun,summary:network,To update a multipoint virtual private network
