set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,ConnectedNetworkType,POST,/retrieve,getConnectedNetworkType,r,x,floor,,r,x,r,x,x,x,x,x,x
camara,ConnectivityInsights,POST,/subscriptions,createSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,ConnectivityInsights,GET,/subscriptions,getSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ConnectivityInsights,GET,/subscriptions/{subscriptionId},getSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ConnectivityInsights,DELETE,/subscriptions/{subscriptionId},deleteSubscription,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ConnectivityInsights,POST,/check-network-quality,checkNetworkQuality,r,r,read-verb,opid:check,r,r,r,r,r,r,r,r,r
camara,ConsentInfo,POST,/retrieve,retrieveStatus,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,ConsentManagement,POST,/consents,createConsent,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,ConsentManagement,PATCH,/consents/{consentId},updateConsent,w,x,floor,,x,x,x,x,x,x,x,w,x
camara,ConsentManagement,POST,/consents/retrieve-info,retrieveConsentInfo,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,CustomerInsights,POST,/scoring/retrieve,retrieveScoring,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,GET,/accesses,listAccesses,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,POST,/accesses,createAccess,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,DedicatedNetworks,GET,/accesses/{accessId},readAccess,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,DELETE,/accesses/{accessId},deleteAccess,x,x,party-noun,summary:access,x,x,x,x,x,x,x,x,x
camara,DedicatedNetworks,GET,/accesses/{accessId}/devices,listDevices,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,POST,/accesses/{accessId}/devices/add,addDevicesToAccess,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,DedicatedNetworks,POST,/accesses/{accessId}/devices/remove,removeDevicesFromAccess,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,DedicatedNetworks,POST,/retrieve-service-areas,retrieveNetworkServiceAreas,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,GET,/areas/{areaId},readNetworkServiceArea,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,GET,/profiles,readNetworkProfiles,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,GET,/profiles/{profileId},readNetworkProfile,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,GET,/networks,listNetworks,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,POST,/networks,createNetwork,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,DedicatedNetworks,GET,/networks/{networkId},readNetwork,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DedicatedNetworks,DELETE,/networks/{networkId},deleteNetwork,x,x,party-noun,summary:network,x,x,x,x,x,x,x,x,x
camara,DeviceAuthenticity,POST,/check-status,checkImeiStatus,r,r,read-verb,opid:check,r,r,r,r,r,r,r,r,r
camara,DeviceDataVolume,POST,/subscriptions,createDeviceDataVolumeSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,DeviceDataVolume,GET,/subscriptions,retrieveDeviceDataVolumeSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceDataVolume,GET,/subscriptions/{subscriptionId},retrieveDeviceDataVolumeSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceDataVolume,DELETE,/subscriptions/{subscriptionId},deleteDeviceDataVolumeSubscription,w,w,floor,,w,w,w,w,x,w,w,w,w
camara,DeviceDataVolume,POST,/retrieve,retrieveDataVolume,r,x,live-verb,summary:execute,x,x,x,x,x,x,x,x,x
camara,DeviceDataVolume,POST,/check,checkDataVolume,r,r,read-verb,opid:check,r,r,r,r,r,r,r,r,r
camara,DeviceIdentifier,POST,/retrieve-identifier,retrieveIdentifier,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,DeviceIdentifier,POST,/retrieve-type,retrieveType,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,DeviceIdentifier,POST,/retrieve-ppid,retrievePpid,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,DeviceIdentifier,POST,/match-identifier,matchIdentifier,r,r,read-verb,opid:match,r,r,r,r,r,r,r,r,r
camara,DeviceLocation,POST,/subscriptions,createGeofencingSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,DeviceLocation,GET,/subscriptions,retrieveGeofencingSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceLocation,GET,/subscriptions/{subscriptionId},retrieveGeofencingSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceLocation,DELETE,/subscriptions/{subscriptionId},deleteGeofencingSubscription,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,DeviceLocation,POST,/retrieve,retrieveLocation,r,x,live-verb,summary:execute,x,x,x,x,x,x,x,x,x
camara,DeviceLocation,POST,/verify,verifyLocation,r,r,read-verb,opid:verify,r,r,r,r,r,r,r,r,r
camara,DeviceMediaStreamingRate,POST,/retrieve-maximum-downstream-media-rate,retrieveMaximumDownstreamMediaRate,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,DeviceReachabilityStatus,POST,/subscriptions,createDeviceReachabilityStatusSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,DeviceReachabilityStatus,GET,/subscriptions,retrieveDeviceReachabilityStatusSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceReachabilityStatus,GET,/subscriptions/{subscriptionId},retrieveDeviceReachabilityStatusSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceReachabilityStatus,DELETE,/subscriptions/{subscriptionId},deleteDeviceReachabilityStatusSubscription,w,w,floor,,w,w,w,w,x,w,w,w,w
camara,DeviceReachabilityStatus,POST,/retrieve,getReachabilityStatus,r,x,floor,,r,x,r,x,x,x,x,x,x
camara,DeviceRoamingStatus,POST,/subscriptions,createDeviceRoamingStatusSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,DeviceRoamingStatus,GET,/subscriptions,retrieveDeviceRoamingStatusSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceRoamingStatus,GET,/subscriptions/{subscriptionId},retrieveDeviceRoamingStatusSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceRoamingStatus,DELETE,/subscriptions/{subscriptionId},deleteDeviceRoamingStatusSubscription,w,w,floor,,w,w,w,w,x,w,w,w,w
camara,DeviceRoamingStatus,POST,/retrieve,getRoamingStatus,r,x,floor,,r,x,r,x,x,x,x,x,x
camara,DeviceStatus,POST,/subscriptions,createConnectedNetworkTypeSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,DeviceStatus,GET,/subscriptions,retrieveConnectedNetworkTypeSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceStatus,GET,/subscriptions/{subscriptionId},retrieveConnectedNetworkTypeSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceStatus,DELETE,/subscriptions/{subscriptionId},deleteConnectedNetworkTypeSubscription,w,w,floor,,w,w,w,w,x,w,w,w,w
